한국어,로마자화,영어,일본어,중국어 간체,중국어 번체
홍합탕,honghaptang,Mussel Soup,ムール貝スープ,贻贝汤,貽貝湯
홍어탕,hongeotang,Skate Soup,ガンギエイスープ,斑鳐汤,斑鰩湯
해물탕,haemultang,Spicy Seafood Stew,海鮮鍋,海鲜汤,海鮮湯
콩탕,Kongtang,Soybean Soup,大豆スープ,豆汤,豆湯
콩비지탕,kongbijitang,Pureed Soybean Soup,おからスープ,黄豆渣汤,黃豆渣湯
추어탕,Chueotang,Loach Soup,どじょうスープ,泥鳅汤,泥鰍湯
초계탕,chogyetang,Cold Chicken Soup,鶏肉の冷製スープ,醋鸡凉汤,醋雞涼湯
참게매운탕,chamgemaeuntang,Spicy Hairy Crab Stew,上海ガニの辛味スープ,鲜辣河蟹汤,鮮辣河蟹湯
조기매운탕,jogimaeuntang,Spicy Yellow Croaker Stew,イシモチの辛味スープ,鲜辣黄花鱼汤,鮮辣黃花魚湯
조개탕,Jogaetang,Clam Soup,貝のスープ,蛤蜊汤,蛤蜊湯
전복삼계탕,jeonboksamgyetang,Abalone and Ginseng Chicken Soup,アワビサムゲタン,鲍鱼参鸡汤,鮑魚參雞湯
장어탕,jangeotang,Eel Soup,ウナギスープ,鳗鱼汤,鰻魚湯
우족탕,ujoktang,Ox Feet Soup,牛足スープ,牛蹄汤,牛蹄湯
우럭매운탕,Ureokmaeuntang,Spicy Rockfish Stew,クロソイの辛味スープ,鲜辣石斑鱼汤,鮮辣石斑魚湯
우거지갈비탕,Ugeojigalbitang,Cabbage and Short Rib Soup,白菜カルビタン,干白菜排骨汤,乾白菜排骨湯
왕갈비탕,wanggalbitang,Beef Rib Soup,王カルビタン,大排骨汤,大排骨湯
영양한우갈비탕,Yeongyanghanugalbitang,Nutritious Korean Beef Rib Soup,栄養韓牛カルビタン,营养韩牛排骨汤,營養韓牛排骨湯
연포탕,Yeonpotang,Bean Curd Soup,豆腐スープ,豆腐清汤,豆腐清湯
양곰탕,yanggomtang,Beef Tripe Soup,牛の胃袋のコムタン,精熬牛胃汤,精熬牛胃湯
알탕,Altang,Spicy Fish Roe Soup,魚の卵スープ,鱼子汤,魚子湯
아귀탕,agwitang,Monkfish Soup,アンコウスープ,安康鱼汤,安康魚湯
쏘가리매운탕,Ssogarimaeuntang,,コウライケツギョの辛味スープ,鲜辣桂鱼汤,鮮辣桂魚湯
설렁탕,Seolleongtang,Ox Bone Soup,ソルロンタン,雪浓汤,雪濃湯
생태탕,saengtaetang,Pollack Soup,スケトウダラスープ,鲜明太鱼汤,鮮明太魚湯
삼계탕,Samgyetang,Ginseng Chicken Soup,サムゲタン,参鸡汤,蔘雞湯
사골우거지갈비탕,sagolugeojigalbitang,Korean Cabbage and Short Rib Soup,牛骨と白菜カルビタン,牛骨干白菜排骨汤,牛骨幹白菜排骨湯
복매운탕,Bokmaeuntang,Spicy Puffer Fish Stew,ふぐの辛味スープ,鲜辣,鮮辣河豚湯
복맑은탕,Bokmalgeuntang,Puffer Fish Soup,ふぐスープ,河豚清汤,河豚清湯
버섯들깨탕,beoseotdeulkkaetang,Mushroom and Perilla Seed Stew,きのことエゴマスープ,蘑菇紫苏籽汤,蘑菇紫蘇籽湯
민어탕,mineotang,Croaker Stew,ニベスープ,黄姑鱼汤,黃姑魚湯
메기매운탕,megimaeuntang,Spicy Catfish Stew,ナマズの辛味スープ,鲜辣鲶鱼汤,鮮辣鯰魚湯
매운탕,Maeuntang,Spicy Fish Stew,魚の辛味スープ,鲜辣鱼汤,鮮辣魚湯
롤삼계탕,Roll Samgyetang,Rolled Ginseng Chicken Soup,ロールサムゲタン,鸡肉卷参鸡汤,雞肉卷參雞湯
뚝배기불고기,Ttukbaegibulgogi,Hot Pot Bulgogi,土鍋プルゴギ,砂锅烤牛肉,砂鍋烤牛肉
뚜거리탕,Ttugeoritang,Spicy Floating Goby Stew,ウキゴリスープ,虾虎鱼汤,蝦虎魚湯
동태탕,dongtaetang,Pollack Soup,スケトウダラスープ,冻明太鱼汤,凍明太魚湯
도미매운탕,domimaeuntang,Spicy Sea Bream Stew,鯛の辛味スープ,鲜辣鲷鱼汤,鮮辣鯛魚湯
도미맑은탕,domimalgeuntang,Sea Bream Soup,鯛スープ,鲷鱼清汤,鯛魚清湯
도가니탕,Doganitang,Ox Knee Soup,牛の膝軟骨スープ,牛膝骨汤,牛膝骨湯
대합탕,daehaptang,Hard Clam Soup,ハマグリスープ,文蛤汤,文蛤湯
대구매운탕,Daegumaeuntang,Spicy Codfish Stew,たらの辛味スープ,鲜辣鳕鱼汤,鮮辣鱈魚湯
대구맑은탕,Daegumalgeuntang,Codfish Soup,たらスープ,鳕鱼清汤,鱈魚清湯
닭곰탕,dakgomtang,Chicken Soup,鶏肉のコムタン,精熬鸡肉汤,精熬雞肉湯
내장탕,naejangtang,Offal Soup,ネジャンタン,内脏汤,內臟湯
꽃게탕,kkotgetang,Spicy Blue Crab Stew,ワタリガニ鍋,花蟹汤,花蟹湯
꼬리곰탕,kkorigomtang,Oxtail Soup,牛テールのコムタン,精熬牛尾汤,精熬牛尾湯
굴탕,gultang,Oyster Soup,カキスープ,牡蛎汤,牡蠣湯
광어매운탕,gwangeomaeuntang,Spicy Flatfish Stew,ヒラメの辛味スープ,鲜辣左口鱼汤,鮮辣左口魚湯
곰탕,Gomtang,Beef Bone Soup,コムタン,精熬牛骨汤,精熬牛骨湯
감자탕,Gamjatang,Pork Back-bone Stew,カムジャタン,脊骨土豆汤,脊骨土豆湯
갈비탕,Galbitang,Short Rib Soup,カルビタン,牛排骨汤,牛排骨湯
갈낙탕,gallaktang,Short Rib and Octopus Soup,カルビとテナガダコスープ,排骨章鱼汤,排骨章魚湯
황태해장국,Hwangtaehaejangguk,Dried Pollack Hangover Soup,スケトウダラの酔い覚ましスープ,干明太鱼醒酒汤,幹明太魚醒酒湯
홍합미역국,honghammiyeokguk,Mussel and Seaweed Soup,ムール貝入りワカメスープ,贻贝海带汤,貽貝海帶湯
해장국,Haejangguk,Hangover Soup,酔い覚ましスープ,醒酒汤,醒酒湯
토란국,toranguk,Taro Soup,里芋スープ,芋头汤,芋頭湯
콩나물해장국,kongnamulhaejangguk,Bean Sprout Hangover Soup,豆もやし酔い覚ましスープ,豆芽醒酒汤,豆芽醒酒湯
콩나물국,Kongnamulguk,Bean Sprout Soup,豆もやしスープ,豆芽汤,豆芽湯
초당순두부,Chodangsundubu,Chodang Soft Bean Curd,チョダンスンドゥブ,草堂嫩豆腐,草堂嫩豆腐
재첩국,jaecheopguk,Freshwater Marsh Clam Soup,シジミスープ,河蚬汤,河蜆湯
육개장,Yukgaejang,Spicy Beef Soup,ユッケジャン,香辣牛肉汤,香辣牛肉湯
우렁된장국,ureongdoenjangguk,Freshwater Snail Soybean Paste Soup,タニシテンジャンクク,田螺大酱清汤,田螺大醬清湯
우거지해장국,ugeojihaejangguk,Korean Cabbage Hangover Soup,白菜酔い覚ましスープ,干白菜醒酒汤,幹白菜醒酒湯
우거지된장국,ugeojidoenjangguk,Korean Cabbage Soybean Paste Soup,白菜テンジャンクク,干白菜大酱清汤,幹白菜大醬清湯
올갱잇국,olgaengitguk,Melanian Snail Soup,カワニナスープ,川蜷汤,川蜷湯
오징엇국,ojingeotguk,Squid Soup,イカスープ,鱿鱼汤,魷魚湯
오이냉국,Oinaengguk,Chilled Cucumber Soup,キュウリの冷製スープ,黄瓜凉汤,黃瓜涼湯
어묵국,eomukguk,Fishcake Soup,練り物スープ,鱼糕汤,魚糕湯
아욱국,aukguk,Curled Mallow Soup,冬葵スープ,冬葵汤,冬葵湯
쑥된장국,ssukdoenjangguk,Mugwort Soybean Paste Soup,よもぎテンジャンクク,艾草大酱清汤,艾草大醬清湯
시래기된장국,siraegidoenjangguk,Dried Radish Leaf Soybean Paste Soup,干し菜っ葉テンジャンクク,干萝卜缨大酱清汤,幹蘿蔔纓大醬清湯
시금치된장국,sigeumchidoenjangguk,Spinach Soybean Paste Soup,ほうれん草テンジャンクク,菠菜大酱清汤,菠菜大醬清湯
순댓국,sundaetguk,Blood Sausage Soup,スンデスープ,血肠汤,血腸湯
소고기육개장,sogogiyukgaejang,Spicy Beef Soup,牛肉のユッケジャン,香辣牛肉汤,香辣牛肉湯
소고기미역국,sogogimiyeokguk,Beef and Seaweed Soup,牛肉入りワカメスープ,牛肉海带汤,牛肉海帶湯
소고기뭇국,sogogimutguk,Beef and Radish Soup,牛肉入り大根スープ,牛肉萝卜汤,牛肉蘿蔔湯
섭국,Seopguk,Mussel Soup,ムール貝スープ,贻贝汤,貽貝湯
선짓국,seonjitguk,Beef Blood Soup,ソンジスープ,牛血汤,牛血湯
사골우거지해장국,sagolugeojihaejangguk,Korean Cabbage Hangover Soup,牛骨と白菜の酔い覚ましスープ,牛骨干白菜醒酒汤,牛骨幹白菜醒酒湯
북엇국,Bugeotguk,Dried Pollack Soup,干しスケトウダラスープ,干明太鱼汤,乾明太魚湯
복국,bokguk,Puffer Soup,ふぐスープ,河豚汤,河豚湯
버섯육개장,beoseotyukgaejang,Spicy Mushroom and Beef Soup,きのこのユッケジャン,香辣蘑菇牛肉汤,香辣蘑菇牛肉湯
배추된장국,baechu-doenjangguk,Cabbage Soybean Paste Soup,白菜テンジャンクク,白菜大酱清汤,白菜大醬清湯
바지락조갯국,bajirakjogaetguk,Clam Soup,アサリスープ,蛤蜊汤,蛤蜊湯
미역냉국,miyeongnaengguk,Chilled Seaweed Soup,ワカメの冷製スープ,海带凉汤,海帶涼湯
미역국,Miyeokguk,Seaweed Soup,ワカメスープ,海带汤,海帶湯
무된장국,mudoenjangguk,Radish Soybean Paste Soup,大根テンジャンクク,萝卜大酱清汤,蘿蔔大醬清湯
매생이굴국,maesaengigulguk,Seaweed Fulvescens and Oyster Soup,カプサアオノリとカキスープ,海藻牡蛎汤,海藻牡蠣湯
매생잇국,Maesaengitguk,Seaweed Fulvescens Soup,カプサアオノリのスープ,海藻清汤,海藻清湯
두부새우젓국,dubusaeujeotguk,Bean Curd and Salted Shrimp Soup,豆腐とアミの塩辛スープ,豆腐虾酱汤,豆腐蝦醬湯
된장국,Doenjangguk,Soybean Paste Soup,テンジャンクク,大酱清汤,大醬清湯
도토리묵사발,dotorimuksabal,Chilled Acorn Jelly Soup,どんぐりこんにゃくスープ,橡子凉粉汤,橡子涼粉湯
도다리쑥국,dodarissukguk,Flounder and Mugwort Soup,メイタガレイとよもぎスープ,木叶鲽鱼艾草汤,木葉鰈魚艾草湯
닭개장,Dakgaejang,Spicy Chicken Soup,鶏肉のユッケジャン,香辣鸡丝汤,香辣雞絲湯
달걀국,dalgyalguk,Egg Soup,卵スープ,鸡蛋汤,雞蛋湯
냉이된장국,naengidoenjangguk,Shepherd's Purse Soybean Paste Soup,ナズナテンジャンクク,荠菜大酱清汤,薺菜大醬清湯
김칫국,kimchitguk,Kimchi Soup,キムチスープ,辛奇清汤,辛奇清湯
김치콩나물국,kimchikongnamulguk,Kimchi and Bean Sprout Soup,キムチと豆もやしスープ,辛奇豆芽汤,辛奇豆芽湯
근댓국,geundaetguk,Leaf Beet Soup,ふだん草スープ ,莙荙菜汤,莙荙菜湯
곰칫국,Gomchitguk,Moray Eel Soup,ウツボスープ,海鳝汤,海鱔湯
회냉면,Hoenaengmyeon,Cold Buckwheat Noodles with Raw Fish,刺身入り冷麺,辣拌斑鳐冷面,辣拌斑鰩冷麵
황태칼국수,Hwangtaekalguksu,Noodle Soup with Dried Pollack,スケトウダラのカルグクス,干明太鱼刀切面,幹明太魚刀切麵
황태비빔막국수,Hwangtaebibimmakguksu,Spicy Buckwheat Noodles with DriedPollack,スケトウダラ入り混ぜそば,干明太鱼拌荞麦凉面,幹明太魚拌蕎麥涼麵
해물칼국수,haemulkalguksu,Noodle Soup with Seafood,海鮮カルグクス,海鲜刀切面,海鮮刀切面
해물수제비,haemulsujebi,Hand-pulled Dough Soup with Seafood,海鮮すいとん,海鲜刀切面,海鮮刀切面
항아리수제비,hangarisujebi,Hand-pulled Dough Soup in Pot,壷すいとん,坛子面片汤,壇子麵片湯
함흥냉면,Hamheungnaengmyeon,Hamheung Cold Buckwheat Noodles,ハムフン冷麺,咸兴冷面,咸興冷面
평양냉면,Pyeongyangnaengmyeon,Pyeongyang Cold Buckwheat Noodles,ピョンヤン冷麺,平壤冷面,平壤冷面
팥칼국수,patkalguksu,Red Bean Paste Noodle Soup,小豆カルグクス,红豆刀切面,紅豆刀切面
콩국수,kongguksu,Noodles in Cold Soybean Soup,豆乳素麺,豆汁面,豆汁麵
콧등치기국수,Kotdeungchigiguksu,Buckwheat Noodles with Potato Balls,じゃがいも団子入りそば,土豆粉团荞麦面,土豆粉團蕎麥麵
코다리냉면,kodarinaengmyeon,Cold Buckwheat Noodles with Half-dried Pollak,半干しスケトウダラ入り冷麺,半干明太鱼冷面,半乾明太魚冷面
칼국수,Kalguksu,Noodle Soup,カルグクス,刀切面,刀切麵
칡냉면,chingnaengmyeon,Cold Arrow Root Noodles,葛冷麺,葛粉冷面,葛粉冷面
초계국수,Chogyeguksu,Cold Chicken Noodles,チョゲグクス,醋鸡面,醋雞麵
쫄면,jjolmyeon,Spicy Chewy Noodles,チョルミョン,辣拌筋面,辣拌筋面
진주냉면,Jinjunaengmyeon,Jinju Cold Buckwheat Noodles,チンジュ冷麺,晋州冷面,晉州冷面
쟁반국수,Jaengbanguksu,Jumbo-sized Buckwheat Noodles,大皿そば,大盘荞麦面,大盤蕎麥麵
잔치국수,Janchiguksu,Banquet Noodles,にゅうめん,喜面,喜麵
온면,onmyeon,Warm Noodles,温麺,温面,溫面
열무비빔국수,yeolmubibimguksu,Spicy Noodles with Young Summer Radish Kimchi,大根若菜混ぜ素麺,萝卜缨辛奇面,蘿蔔纓辛奇面
열무냉면,Yeolmunaengmyeon,Buckwheat Noodles with YoungSummer Radish Kimchi,大根若菜キムチ冷麺,萝卜缨辛奇冷面,蘿蔔纓辛奇冷面
열무국수,Yeolmuguksu,Young Summer Radish KimchiNoodles,大根若菜キムチ素麺,萝卜缨辛奇面,蘿蔔纓辛奇麵
얼큰칼국수,eolkeunkalguksu,Spicy Noodle Soup,ピリ辛カルグクス,香辣刀切面,香辣刀切面
얼큰수제비,eolkeunsujebi,Spicy Hand-pulled Dough Soup,ピリ辛 すいとん,香辣面片汤,香辣面片湯
어탕국수,eotangguksu,Noodle in Fish Stew,魚スープの素麺,鱼汤面,魚湯麵
안동국시,Andongguksi,Andong Noodle,アンドン素麺,安东面,安東面
수제비,Sujebi,Hand-pulled Dough Soup,すいとん,面片汤,麵片湯
비빔냉면,Bibimnaengmyeon,Spicy Buckwheat Noodles,混ぜ冷麺,拌冷面,拌冷麵
비빔국수,Bibimguksu,Spicy Noodles,混ぜ素麺,拌面,拌麵
바지락칼국수,Bajirakkalguksu,Noodle Soup with Clams,アサリカルグクス,蛤蜊刀切面,蛤蜊刀切麵
물냉면,Mulnaengmyeon,Cold Buckwheat Noodles,水冷麺,冷面,冷麵
매생이굴칼국수,maesaengigulkalguksu,Noodle Soup with Seaweed Fulvescens and Oyster,カプサアオノリとカキのカルグクス,海藻牡蛎刀切面,海藻牡蠣刀切面
막국수,Makguksu,Buckwheat Noodles,混ぜそば,荞麦凉面,蕎麥涼麵
떡국,Tteokguk,Sliced Rice Cake Soup,トックク,年糕汤,年糕湯
들깨칼국수,deulkkaekalguksu,Noodle Soup with Perilla Seeds,エゴマカルグクス,紫苏籽刀切面,紫蘇籽刀切面
들깨수제비,deulkkaesujebi,Hand-pulled Dough in Perilla Seed Soup,エゴマすいとん,紫苏籽面片汤,紫蘇籽面片湯
동치미물냉면,dongchimimullaengmyeon,Cold Buckwheat Noodles with Radish Water Kimchi,大根の水キムチ冷麺,盐水萝卜冷面,鹽水蘿蔔冷面
닭칼국수,dakkalguksu,Noodle Soup with Chicken,鶏肉カルグクス,鸡肉刀切面,雞肉刀切面
느른국,Neureunguk,Buckwheat Noodle Soup,そばカルグクス,荞麦刀切面,蕎麥刀切麵
냉메밀국수,naengmemilguksu,Cold Buckwheat Noodles,冷そば,荞麦凉面,蕎麥涼麵
김치말이국수,Kimchimariguksu,Kimchi Noodles,キムチ混ぜ素麺,辛奇汤面,辛奇湯麵
곰국시,gomguksi,Beef Noodles,牛肉素麺,牛肉汤面,牛肉湯麵
고기국수,gogiguksu,Pork Noodles,肉素麺,猪肉汤面,豬肉湯麵
검정콩국수,geomjeongkongguksu,Noodles in Cold Black Soybean Soup,黒豆豆乳素麺,黑豆汁面,黑豆汁面
감자옹심이,Gamjaongsimi,Potato Ball Soup,じゃがいも団子スープ,土豆粉团汤,土豆粉團湯
감자수제비,Gamjasujebi,Hand-pulled Potato Dough Soup,じゃがいもすいとん,土豆面片汤,土豆麵片湯
흑임자죽,Heugimjajuk,Black Sesame Porridge,黒ごま粥,黑芝麻粥,黑芝麻粥
호박죽,Hobakjuk,Pumpkin Porridge,カボチャ粥,南瓜粥,南瓜粥
해물죽,haemuljuk,Seafood Porridge,海鮮粥,海鲜粥,海鮮粥
팥죽,Patjuk,Red Bean Porridge,小豆粥,红豆粥,紅豆粥
채소죽,Chaesojuk,Vegetable Porridge,野菜粥,蔬菜粥,蔬菜粥
참치죽,chamchijuk,Tuna Porriddge,ツナ粥,金枪鱼粥,金槍魚粥
전복죽,Jeonbokjuk,Abalone Porridge,アワビ粥,鲍鱼粥,鮑魚粥
전복내장죽,jeonboknaejangjuk,Abalone Intestine Porridge,アワビの内臓粥,鲍鱼内脏粥,鮑魚內臟粥
잣죽,Jatjuk,Pine Nut Porridge,松の実粥,松仁粥,松仁粥
어죽,eojuk,Fish Porridge,魚粥,鱼粥,魚粥
소고기버섯죽,sogogibeoseotjuk,Beef and Mushroom Porridge,牛肉ときのこ粥,牛肉蘑菇粥,牛肉蘑菇粥
삼계죽,Samgyejuk,Ginseng and Chicken Porridge,鶏肉と高麗人蔘のお粥,参鸡粥,蔘雞粥
버섯죽,beoseotjuk,Mushroom Porridge,きのこ粥,蘑菇粥,蘑菇粥
버섯옥수수죽,Beoseotoksusujuk,Mushroom and Corn Porridge,きのこととうもろこしのお粥,蘑菇玉米粥,蘑菇玉米粥
백합죽,baekhapjuk,Hard Clam Porridge,カガミガイ粥,白蛤粥,白蛤粥
바지락죽,bajirakjuk,Clam Porridge,アサリ粥,蛤蜊粥,蛤蜊粥
녹두죽,nokdujuk,Mung Bean Porridge,緑豆粥,绿豆粥,綠豆粥
게살죽,gesaljuk,Crab Porridge,カニ肉粥,蟹肉粥,蟹肉粥
회덮밥,Hoedeopbap,Raw Fish Bibimbap,刺身丼,生鱼片盖饭,生魚片蓋飯
황태구이덮밥,Hwangtaeguideopbap,Grilled Dried Pollack with Rice,焼きスケトウダラ丼,烤干明太鱼盖饭,烤幹明太魚蓋飯
헛제삿밥,heotjesatbap,Bibimbap with Soy Sauce,カンジャンビビンバ,祭祀菜拌饭,祭祀菜拌飯
콩나물밥,Kongnamulbap,Bean Sprout Rice,豆もやしご飯,豆芽饭,豆芽飯
콩나물국밥,Kongnamulgukbap,Bean Sprout and Rice Soup,豆もやしクッパ,豆芽汤饭,豆芽湯飯
치즈김밥,cheese gimbap,Cheese Gimbap,チーズキンパプ,奶酪紫菜卷饭,奶酪紫菜捲飯
충무김밥,Chungmugimbap,Chungmu Gimbap,チュンムキンパプ,忠武紫菜卷饭,忠武紫菜捲飯
참치김밥,chamchigimbap,Tuna Gimbap,ツナキンパプ,金枪鱼紫菜卷饭,金槍魚紫菜捲飯
진주비빔밥,Jinjubibimbap,Jinju Bibimbap,チンジュビビンバ,晋州拌饭,晉州拌飯
주먹밥,Jumeokbap,Riceballs,おにぎり,饭团,飯糰
제육쌈밥,jeyukssambap,Spicy Stir-fried Pork Leaf Wraps and Rice,豚肉炒め野菜包みご飯,辣炒猪肉包饭,辣炒豬肉包飯
제육비빔밥,Jeyukbibimbap,Spicy Pork Bibimbap,豚肉炒めビビンバ,辣炒猪肉拌饭,辣炒豬肉拌飯
제육덮밥,Jeyukdeopbap,Spicy Stir-fried Pork with Rice,豚肉炒め丼,辣炒猪肉盖饭,辣炒豬肉蓋飯
전주비빔밥,Jeonjubibimbap,Jeonju Bibimbap,チョンジュビビンバ,全州拌饭,全州拌飯
전복돌솥밥,jeonbokdolsotbap,Abalone Hot Stone Pot Rice,アワビの釜飯,鲍鱼石锅饭,鮑魚石鍋飯
장어덮밥,Jangeodeopbap,Stir-fried Eel with Rice,ウナギ丼,鳗鱼盖饭,鰻魚蓋飯
장국밥,janggukbap,Beef and Rice Soup,チャンクッパ,牛肉汤饭,牛肉湯飯
잡채덮밥,Japchaedeopbap,Stir-fried Glass Noodles and Vegetables with Rice,チャプチェ丼,什锦炒粉丝盖饭,什錦拌粉絲蓋飯
잡곡밥,Japgokbap,Steamed Multi-grain Rice,雑穀ご飯,杂粮饭,雜糧飯
육회비빔밥,Yukhoebibimbap,Beef Tartare Bibimbap,ユッケビビンバ,生牛肉拌饭,生牛肉拌飯
육회돌솥비빔밥,yukhoedolsotbibimbap,Beef Tartare Hot Stone Pot Bibimbap,ユッケ石焼きビビンバ,生牛肉石锅拌饭,生牛肉石鍋拌飯
우렁쌈밥,ureongssambap,Freshwater Snail Leaf Wraps and Rice,タニシ入り野菜包みご飯,田螺包饭,田螺包飯
우렁된장비빔밥,Ureongdoenjangbibimbap,Freshwater Snail Soybean PasteBibimbap,タニシ入りテンジャンビビンバ,田螺大酱拌饭,田螺大醬拌飯
우거지사골국밥,Ugeojisagolgukbap,Kimchi Cabbage and Rice Soup,白菜入り牛骨クッパ,干白菜牛骨汤饭,乾白菜牛骨湯飯
오징어덮밥,Ojingeodeopbap,Spicy Stir-fried Squid with Rice,イカ炒め丼,鱿鱼盖饭,魷魚蓋飯
오분작돌솥밥,obunjakdolsotbap,Small Abalone Hot Stone Pot Rice,トコブシの釜飯,小鲍鱼石锅饭,小鮑魚石鍋飯
오곡밥,Ogokbap,Steamed Five-grain Rice,五穀ご飯,五谷饭,五穀飯
영양돌솥밥,Yeongyangdolsotbap,Nutritious Hot Stone Pot Rice,栄養釜飯,营养石锅饭,營養石鍋飯
열무비빔밥,yeolmubibimbap,Young Summer Radish Bibimbap,大根若菜ビビンバ,萝卜缨辛奇拌饭,蘿蔔纓辛奇拌飯
연잎밥,yeonnipbap,Lotus Leaf Rice,蓮の葉ご飯 ,荷叶饭,荷葉飯
양푼비빔밥,yangpunbibimbap,Large Brass Bowl Bibimbap,ヤンプンビビンバ,铜盆拌饭,銅盆拌飯
알밥,albap,Fish Roe Rice,魚の卵ご飯,鱼子饭,魚子飯
쌈밥,Ssambap,Leaf Wraps and Rice,野菜包みご飯,蔬菜包饭,蔬菜包飯
순대국밥,Sundaegukbap,Blood Sausage and Rice Soup,スンデクッパ,血肠汤饭,血腸湯飯
송어덮밥,Songeodeopbap,Stir-fried Trout with Rice,マス丼,鳟鱼盖饭,鱒魚蓋飯
소머리국밥,Someorigukbap,Beef Head Meat and Rice Soup,牛の頭部肉クッパ,牛头肉汤饭,牛頭肉湯飯
소고기김밥,sogogigimbap,Beef Gimbap,牛肉キンパプ,牛肉紫菜卷饭,牛肉紫菜捲飯
소고기국밥,Sogogigukbap,Beef and Rice Soup,牛肉クッパ,牛肉汤饭,牛肉湯飯
샐러드김밥,salad gimbap,Salad Gimbap,サラダキンパプ,沙拉紫菜卷饭,沙拉紫菜捲飯
새싹비빔밥,Saessakbibimbap,Sprout Bibimbap,スプラウトビビンバ,嫩芽拌饭,嫩芽拌飯
삼선비빔밥,Samseonbibimbap,Three-delicacy Bibimbap,三鮮ビビンバ,三鲜拌饭,三鮮拌飯
산채비빔밥,Sanchaebibimbap,Wild Vegetable Bibimbap,山菜ビビンバ,山菜拌饭,山菜拌飯
비빔밥,Bibimbap,Bibimbap,ビビンバ,拌饭,拌飯
불고기덮밥,Bulgogideopbap,Bulgogi with Rice,プルゴギ丼 醤,烤牛肉盖饭,烤牛肉蓋飯
보리밥,Boribap,steamed-barelyrice,麦ご飯,大麦饭,大麥飯
밥,Bap,Steamed Rice,ご飯,米饭,米飯
묵밥,Mukbap,Chilled Acorn Jelly and Rice Soup,どんぐりこんにゃく入りクッパ,凉粉汤饭,涼粉湯飯
메밀감자비빔밥,Memilgamjabibimbap,Buckwheat and Potato Bibimbap,そばとじゃがいものビビンバ,土豆拌饭荞麦卷饼,土豆拌飯蕎麥卷餅
멍게비빔밥,Meonggebibimbap,Sea Pineapple Bibimbap,ホヤビビンバ,海鞘拌饭,海鞘拌飯
따로국밥,Ttarogukbap,Rice and Soup,タロクッパ,汤加饭,湯加飯
돼지국밥,Dwaejigukbap,Pork and Rice Soup,豚肉クッパ,猪肉汤饭,豬肉湯飯
돌솥비빔밥,Dolsotbibimbap,Hot Stone Pot Bibimbap,石焼きビビンバ,石锅拌饭,石鍋拌飯
대나무통밥,daenamutongbap,Steamed Rice in Bamboo Tube,竹筒ご飯 ,竹筒饭,竹筒飯
누룽지,Nurungji,Scorched Rice,おこげ湯,锅巴粥,鍋巴粥
낙지덮밥,Nakjideopbap,,テナガダコ丼,章鱼盖饭,章魚蓋飯
김치볶음밥,Kimchibokkeumbap,Kimchi Fried Rice,キムチチャーハン,辛奇炒饭,辛奇炒飯
김치김밥,kimchigimbap,Kimchi Gimbap,キムチキンパプ,辛奇紫菜卷饭,辛奇紫菜捲飯
김밥,gimbap,Gimbap,キンパプ,紫菜卷饭,紫菜捲飯
굴밥,gulbap,Oyster Rice,カキご飯,牡蛎饭,牡蠣飯
굴국밥,Gulgukbap,Oyster and Rice Soup,カキクッパ,牡蛎汤饭,牡蠣湯飯
곤드레나물밥,Gondeurenamulbap,Thistle Rice,コンドゥレナムルご飯,山蓟菜饭,山薊菜飯
한정식,Hanjeongsik,Korean Table d'hote,韓定食,韩定食 (韩式套餐),韓定食
쌈밥 정식,ssambapjeongsik,Leaf Wraps and Rice Combo,野菜包みご飯定食,蔬菜包饭套餐,蔬菜包飯套餐
산채 정식,sanchaejeongsik,Wild Vegetable Dish Combo,山菜定食,山菜套餐,山菜套餐
백반,baekban,Combination Meals,定食,家常套餐,家常套餐
한식,,Hansik(Korean)
양식,,Western
일식,,Japanese
중식,,Chinese
그 외,,Others